experiment,train_seconds,best_epoch,best_val_auc,selected_threshold,val_best_f1,accuracy,precision,recall,f1,roc_auc,width,n_blocks,dropout,lr,weight_decay,batch_size,max_epochs,patience,tune_threshold
tabular_resnet_default,361.61,20,0.9896449750204006,0.5,0.9570753351982252,0.8780547053393577,0.8354625299418273,0.9694476308126709,0.897481977658423,0.9782797021851993,256,2,0.15,0.001,1e-05,2048,20,4,False
tabular_resnet_threshold_tuned,403.63,22,0.9892092892146263,0.3999999999999998,0.9565914125465429,0.8481028032842637,0.7893790331111816,0.9876466954910439,0.8774522292993631,0.9769045835410104,256,3,0.2,0.0008,5e-05,2048,25,5,True
