experiment,train_seconds,n_iter,best_validation_score,loss,hidden_layer_sizes,activation,learning_rate_init,max_iter,early_stopping,n_iter_no_change,random_state,accuracy,precision,recall,f1,roc_auc,alpha,batch_size
mlp_baseline,326.44,37,0.9500998003992016,0.09927829026066055,"(128, 64)",relu,0.001,50,True,5,42,0.8736821648933586,0.8299954655380894,0.9690726197829348,0.8941583553836759,0.9749336176819191,,
mlp_tuned_longer,179.43,55,0.9486170516110636,0.10257836309213846,"(128, 64)",relu,0.0005,120,True,10,42,0.8615605111013943,0.8129057244024787,0.9723594811612106,0.8855116718228937,0.9757570327982619,0.0005,512.0
mlp_tuned_wider,222.73,46,0.9463358996293127,0.10029389347905775,"(256, 128)",relu,0.0005,120,True,10,42,0.8641111596948938,0.8126281863463228,0.9789111444454248,0.8880528316990194,0.9773091342909132,0.001,512.0
