model,train_seconds,accuracy,precision,recall,f1,roc_auc
lightgbm,9.07,0.8759898945731914,0.8234308236334168,0.9862569487337863,0.8975187698237443,0.9854891369022777
catboost,51.05,0.8722732351940922,0.8189797339392385,0.9859481161210624,0.8947410565931976,0.9829309162908607
