model,accuracy,macro_precision,macro_recall,macro_f1
xgboost,0.7707331292814459,0.5394098023372375,0.5442802240389047,0.5064682212447587
decision_tree,0.7357406597677695,0.4934325044266008,0.527635045037752,0.4963703657446795
random_forest,0.7521255404945829,0.5178740639027902,0.48350165571955994,0.4609810864336511
logistic_regression,0.6981489578778604,0.3993468690059352,0.3865017604355022,0.3400118486983765
