model,accuracy,precision,recall,f1,roc_auc
xgboost,0.8752854297235583,0.8234328303139874,0.9846245477808171,0.896843416584621,0.9842646695491043
random_forest,0.8707549919836759,0.8171545592510651,0.9858598782317127,0.8936144686722054,0.9789115012722949
decision_tree,0.8635524461934606,0.8242857686308822,0.9559692932145063,0.8852572876023941,0.8556806125259645
logistic_regression,0.8098552203274547,0.753619225049994,0.9726462543015971,0.849237762305107,0.9560795339370077
