experiment,train_seconds,accuracy,precision,recall,f1,roc_auc
xgboost_subset_144k,7.12,0.8794636350386241,0.82940125776802,0.9833450983852466,0.8998364924604857,0.9845189115260146
mlp_subset_144k,69.33,0.8688480785113929,0.822928745090705,0.9706609017912291,0.890710714358009,0.9758257754798829
